Deploy,Subject,Status,Previous inputs,New inputs,Previous unit,New unit,Explanation
November,Carbon modelling,New,-,industry_chemicals_other_methanol_non_energetic_share,-,%,Non-energetic final demand of methanol in chemical other industry
November,Carbon modelling,New,-,industry_chemicals_other_biomethanol_non_energetic_share,-,%,Non-energetic final demand of biomethanol in chemical other industry
November,Carbon modelling,New,-,industry_chemicals_other_bionaphtha_non_energetic_share,-,%,Non-energetic final demand of bionaphtha in chemical other industry
November,Carbon modelling,New,-,industry_chemicals_other_burner_bionaphtha_share,-,%,Energetic final demand of bionaphtha in chemical other industry
November,Carbon modelling,New,-,max_demand_of_non_biogenic_waste,-,PJ,Domestic potential of non-biogenic waste
November,Power-to-heat,New,-,temperature_cutoff_of_energy_flexibility_p2h,-,degC,Temperature cut-off for P2H technologies
November,Power-to-heat,New,-,energy_heat_flexibility_p2h_boiler_ht_electricity_availability,-,-,"Curve for availability of P2H boiler HT. Note that this is not a regular input, but should be set by uploading a curve"
November,Power-to-heat,New,-,energy_heat_flexibility_p2h_boiler_mt_electricity_availability,-,-,"Curve for availability of P2H boiler MT. Note that this is not a regular input, but should be set by uploading a curve"
November,Power-to-heat,New,-,energy_heat_flexibility_p2h_heatpump_ht_electricity_availability,-,-,"Curve for availability of P2H heat pump HT. Note that this is not a regular input, but should be set by uploading a curve"
November,Power-to-heat,New,-,energy_heat_flexibility_p2h_heatpump_mt_electricity_availability,-,-,"Curve for availability of P2H heat pump MT. Note that this is not a regular input, but should be set by uploading a curve"
August,Naphtha,New,-,volume_of_baseload_export_naphtha,-,PJ,Baseload export of naphtha added
August,Naphtha,New,-,industry_chemicals_other_burner_naphtha_share,-,%,Energetic final demand of naphtha added to chemical other industry
August,Naphtha,New,-,industry_chemicals_other_naphtha_non_energetic_share,-,%,Non-energetic final demand of naphtha added to chemical other industry
August,Modifiable profiles,Changed,-,-,-,-,"Profiles with type 'capacity profile' are now downloaded in the same format as they should be uploaded (sum tothe  total number of full load hours). Previously, a normalised profile was obtained. "
June,Households appliances efficiency,New,-,households_appliances_electricity_efficiency,-,%,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_clothes_dryer_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_computer_media_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_dishwasher_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_fridge_freezer_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_other_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
