"id","key","query","name","description","created_at","updated_at","not_cacheable"
42,"geothermal_supply","SUM(V(
  heat_pump_with_CHS_agri_agriculture_energetic,
  heat_pump_with_chs_households_energetic,
  geothermal_agri_agriculture_energetic,
  geothermal_heat_energy,
  heatpump_boiler_households_energetic,
  heatpump_using_city_heat_households_energetic,
  heatpump_households_energetic;
    output_of_useable_heat + output_of_hot_water + output_of_steam_hot_water
))","","","2010-05-21 10:03:29","2010-05-21 10:03:29",0
43,"ambient_heat","SUM(V(
  heatpump_boiler_households_energetic,
  heat_pump_with_chs_households_energetic,
  heatpump_households_energetic,
  heatpump_using_city_heat_households_energetic,
  solar_panel_for_heating_households_energetic,
  solar_panel_for_hot_water_households_energetic;
    output_of_heat_carriers
))    ","","","2010-05-21 10:05:03","2010-05-21 10:05:03",0
44,"electricity_for_heat","SUM(
  V(
    heatpump_boiler_households_energetic,
    electric_boiler_households_energetic,
    heat_pump_with_chs_households_energetic,
    electric_heater_households_energetic,
    heatpump_households_energetic,
    heatpump_using_city_heat_households_energetic
    gasheatpump_households_energetic;
      input_of_electricity
  )
)","","","2010-05-21 11:20:26","2010-06-14 19:38:05",0
45,"centrally_produced_electricity_households","SUM(
  V(electricity_households_energetic;demand),
  NEG(V(local_solar_pv_grid_connected_energy_energetic;output_of_electricity))
)
","","","2010-05-21 11:22:09","2010-05-21 11:22:09",0
46,"ambient_heat_agri","SUM(V(
  heat_pump_with_CHS_agri_agriculture_energetic,geothermal_agri_agriculture_energetic;
  output_of_heat_carriers - input_of_electricity
))","","","2010-05-21 11:23:46","2010-05-21 11:24:35",0
47,"biomass_heat_production","SUM(V(
  biomass_burner_agri_agriculture_energetic,
  bio_oil_chp_industry_energetic,
  biomass_chp_industry_energetic,
  biomass_burner_industry_industry_energetic,
  greengas_burner_industry_industry_energetic, 
  biomass_burner_other_other_energetic,
  heater_on_greengas_households_energetic,
  heater_on_biomass_households_energetic;
    output_of_heat_carriers
))","","","2010-05-21 11:26:28","2010-05-21 11:26:28",0
48,"imported_energy_share","PRODUCT(Q(energy_dependence),100)","","","2010-05-21 11:28:00","2010-05-21 11:28:00",0
49,"electricity_production","SUM(
  V(G(electricity_production);output_of_electricity)
)","","","2010-05-21 11:38:07","2010-05-21 11:38:07",0
50,"electricity_dependence","DIVIDE(
  V(interconnection_energy;demand),
  SUM(Q(electricity_production), V(interconnection_energy;demand))
)","","","2010-05-21 11:39:53","2010-06-18 14:31:53",0
51,"imported_electricity","V(electricity_import_export_energy;output_of_imported_electricity)","","","2010-05-21 11:43:02","2010-05-21 11:43:02",0
52,"imported_electricity_share","PRODUCT(
  100,
  DIVIDE( Q(imported_electricity), SUM(Q(electricity_production),Q(imported_electricity)) )
)","","","2010-05-21 11:44:34","2010-06-21 14:42:56",0
53,"avg_total_cost_for_electricity_production_per_mj","
  DIVIDE(
    SUM(V(G(electricity_production);total_cost_electricity)),
    SUM(V(G(electricity_production);output_of_electricity))
  )
","","Fixed. Before the costs per MWh were calculated.

Deleted this :

PRODUCT(
  SECS_PER_HOUR,","2010-05-21 11:54:13","2010-07-16 12:52:32",0
54,"electricity_import_total_cost","PRODUCT(Q(imported_electricity), Q(avg_total_cost_for_electricity_production_per_mj))","","","2010-05-21 11:54:55","2010-05-21 11:54:55",0
55,"total_cost_electricity","SUM(Q(electricity_import_total_cost), Q(avg_total_cost_for_electricity_production_per_mj))","","","2010-05-21 11:55:32","2010-05-21 11:55:32",0
56,"natural_gas_share","V(energy_sector_gas_mixer_energy;natural_gas_input_conversion)","","","2010-05-21 11:57:08","2010-05-21 11:57:08",0
57,"greengas_share"," V(energy_sector_gas_mixer_energy;greengas_input_conversion)","","","2010-05-21 11:58:00","2010-05-21 11:58:00",0
58,"electricity_produced_from_natural_gas","PRODUCT(GRAPH(electricity_produced_from_gas),Q(natural_gas_share))","","","2010-05-21 11:59:44","2010-05-21 11:59:44",0
59,"electricity_produced_from_greengas","PRODUCT(GRAPH(electricity_produced_from_gas),Q(greengas_share))","","","2010-05-21 12:00:11","2010-05-21 12:00:11",0
60,"other_share_of_heating_demand_households_energetic","SUM(1,NEG(SUM(V(electric_heater_households_energetic,solar_panel_for_heating_households_energetic,micro_chp_households_energetic,heat_pump_with_chs_households_energetic,heatpump_households_energetic,central_heating_households_energetic,electric_heater_households_energetic;share_of_heating_demand_households_energetic))))
","","gets the combined share of the converters that are not a slider","2010-06-03 10:06:54","2010-06-03 10:06:54",0
61,"wind_coastal_percentage_used","PRODUCT(DIVIDE(V(wind_coastal_energy;total_land_use),AREA(onshore_suitable_for_wind)),100)","","","2010-06-04 08:10:14","2010-06-04 08:10:14",0
62,"wind_inland_percentage_used","PRODUCT(DIVIDE(V(wind_inland_energy;total_land_use),AREA(onshore_suitable_for_wind)),100)","","","2010-06-04 08:10:47","2010-06-04 08:10:47",0
63,"wind_offshore_percentage_used","PRODUCT(DIVIDE(V(wind_offshore_energy;total_land_use),AREA(onshore_suitable_for_wind)),100)","","","2010-06-04 08:11:35","2010-06-04 08:11:35",0
64,"land_pv_percentage_used","PRODUCT(DIVIDE(V(solar_pv_central_production_energy_energetic;total_land_use),AREA(land_available_for_solar)),100)","","","2010-06-04 08:22:38","2010-06-04 08:45:56",0
65,"land_csp_percentage_used","PRODUCT(DIVIDE(V(solar_csp_energy;total_land_use),AREA(land_available_for_solar)),100)","","","2010-06-04 08:23:24","2010-06-04 08:45:30",0
66,"roof_pv_percentage_used","PRODUCT(DIVIDE(V(local_solar_pv_grid_connected_energy_energetic;total_land_use),AREA(roof_surface_available_pv)),100)","","","2010-06-04 08:26:16","2010-06-04 08:28:01",0
67,"electricity_produced_from_coal","SUM(V(coal_conv_energy,coal_pwd_energy,coal_pwd_ccs_energy,coal_lignite_energy,coal_igcc_energy,coal_igcc_ccs_energy,coal_oxyfuel_ccs_energy,coal_chp_energy;output_of_electricity))","","","2010-06-04 10:00:52","2010-06-04 10:00:52",0
68,"chp_electricity_output","DIVIDE(SUM(V(micro_chp_households_energetic,small_chp_industry_energetic,large_chp_industry_energetic,biomass_chp_industry_energetic,coal_chp_energy,bio_oil_chp_industry_energetic,chp_other_other_energetic,chp_agri_agriculture_energetic;output_of_electricity)),BILLIONS)","","","2010-06-07 15:24:47","2010-06-07 15:24:47",0
69,"heatpumps_input_of_electricity","DIVIDE(SUM(
V(
heatpump_households_energetic,
heatpump_boiler_using_city_heat_households_energetic,
heatpump_using_city_heat_households_energetic,
heatpump_boiler_households_energetic,
heat_pump_with_CHS_agri_agriculture_energetic,
heat_pump_with_chs_households_energetic
;input_of_electricity)),BILLIONS)","","","2010-06-07 15:40:13","2010-06-07 15:44:31",0
